Rank,Ticker,Nombre,Mercado,Sector,Industria,País,Moneda,Precio,Rules_Version,Model_Version,Config_Version,Evaluation_Timestamp,Score_Total,Score_Cuantitativo,Score_Fundamental,Score_Valoracion,Score_Causal,Score_Recuperacion,Score_Tecnico,Clasificacion,Clasificacion_Base,hard_rules_applied,Capa1_Pasa,Capa1_Status,Capa2_Causal_Classification,Capa2_Causal_Confidence,Capa2_Problem_Type,Capa2_Justification,Capa3_Recovery_Status,Capa3_Recovery_Signals,Capa4_Status,Capa5_Final_Classification,Capa5_Entry_Zone_Min,Capa5_Entry_Zone_Max,Capa5_Entry_Zone,Capa5_Exit_Zone_Min,Capa5_Exit_Zone_Max,Capa5_Exit_Zone,Capa5_Invalidation_Conditions,Capa5_Estimated_Horizon_Months,Capa5_Short_Explanation,Capa5_Summary_Explanation,Señales,Div_Yield_Actual_%,Historial_Div_Años_10,Consec_Antes_Corte,Recorte_Reciente,Payout_%,D/E,Vol_Medio_Diario,Net_Debt,Net_Debt_EBITDA,Variacion_Deuda_Trimestral_%,Tipo_Margen,Margen_Actual_%,Margen_Medio_4T_%,Variacion_Margen_pp,ROE_%,Cap_Millones,PER,P/B,EV_EBITDA,Caida_52s_%,Caida_Max_Multianual_%,Dist_SMA200_%,RSI_14,MACD_Cruce,MACD_Convergiendo,MACD_Semanal,MACD_Semanal_Giro,Estocastico_K,Estocastico_D,Estocastico_Giro,MA40_Semanal,Dist_MA40_Semanal_%,Base_Pattern_Detected,Trendline_Break,Technical_Base_Score,Technical_Bonus_Points,Vol_Ratio,Soporte,SMA50_Girando
1,FMG.AX,FORTESCUE FPO [FMG],ASX,Basic Materials,Other Industrial Metals & Mining,Australia,AUD,17.22,1.0,script-v2.0,1.0,2026-09-04T12:23:46.885024+02:00,81.2,82.6,97,70,0,1,77,seguimiento,seguimiento,Sin señales de recuperación,True,pass,pendiente,0,desconocido,Pendiente de implementar,ausente,dividend_maintained (baja): Dividendo actual 4.34% con caída del 26.3%,fuerte,seguimiento,16.36,17.22,16.36 - 17.22,19.64,19.87,19.64 - 19.87,Pérdida del soporte en 16.36 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"FORTESCUE FPO [FMG] está un 26.3% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 14.2%, deuda neta/EBITDA 0.1x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: seguimiento.","FORTESCUE FPO [FMG] está un 26.3% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 14.2%, deuda neta/EBITDA 0.1x. Técnicamente 🟢 Divergencia alcista RSI, 🟢 Cruce alcista MACD. Clasificación: seguimiento.",🟢 Divergencia alcista RSI | 🟢 Cruce alcista MACD | 🟢 Volumen creciente | 🟢 base_pattern_detected,4.34,11,16,False,,0.29,6444271.0,856999936.0,0.1,,,40.1,,,14.2,53020.0,13.2,1.87,6.49,26.3,23.6,-12.3,46.2,True,False,-0.6407,False,50.1,27.5,False,19.59,-12.1,True,False,65,12,1.32,,False
2,RI.PA,PERNOD RICARD,EUROSTOXX,Consumer Defensive,Beverages - Wineries & Distilleries,France,EUR,62.78,1.0,script-v2.0,1.0,2026-09-04T12:22:14.611351+02:00,80.2,81.6,80,83,0,7,76,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 6.45 vs 5.83 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 7.49% con caída del 36.9% | analyst_upgrade (media): Target 81.71 vs precio 62.78 (+30%), recMean 2.50, recKey buy",fuerte,seguimiento,60.28,62.78,60.28 - 62.78,67.29,84.54,67.29 - 84.54,Pérdida del soporte en 60.28 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"PERNOD RICARD está un 36.9% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 7.6%, deuda neta/EBITDA 3.9x. Técnicamente 🟡 MACD convergiendo, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.","PERNOD RICARD está un 36.9% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 7.6%, deuda neta/EBITDA 3.9x. Técnicamente 🟡 MACD convergiendo, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.",🟡 MACD convergiendo | 🟢 Bajo SMA200 con SMA50 girando | 🟢 Cerca de soporte | 🟡 Apoyo en MA40 semanal | 🟢 base_pattern_detected,7.49,11,20,False,84.0,0.77,699888.0,10684999680.0,3.91,0.7,,58.4,,,7.6,15809.0,11.2,1.02,10.04,36.9,50.0,-6.7,38.7,False,True,-0.9332,False,11.3,11.5,False,67.12,-6.5,True,False,59,17,0.72,60.28,True
3,9022.T,CENTRAL JAPAN RAILWAY CO,ASIA,Industrials,Railroads,Japan,JPY,3857.0,1.0,script-v2.0,1.0,2026-09-04T12:24:08.653542+02:00,79.8,79.1,77,81,0,4,82,seguimiento,seguimiento,Sin señales de recuperación,True,pass,pendiente,0,desconocido,Pendiente de implementar,ausente,eps_stabilization (media): EPS 149.59 vs 147.88 (Diluted EPS) | dividend_maintained (baja): Dividendo actual 0.83% con caída del 20.1%,fuerte,seguimiento,3766.0,3800.18,3766.00 - 3800.18,4029.0,4105.5,4029.00 - 4105.50,Pérdida del soporte en 3766.00 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,6-12,"CENTRAL JAPAN RAILWAY CO está un 20.1% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 11.2%, deuda neta/EBITDA 4.3x. Técnicamente 🟢 Cruce alcista MACD, 🟢 Cerca de soporte. Clasificación: seguimiento.","CENTRAL JAPAN RAILWAY CO está un 20.1% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 11.2%, deuda neta/EBITDA 4.3x. Técnicamente 🟢 Cruce alcista MACD, 🟢 Cerca de soporte. Clasificación: seguimiento.",🟢 Cruce alcista MACD | 🟢 Cerca de soporte | 🟡 Apoyo en MA40 semanal | 🟢 base_pattern_detected | 🟡 trendline_break,0.83,11,20,False,5.6,0.92,2969084.0,4425204924416.0,4.28,11.6,,51.9,,,11.2,3661759.0,6.8,0.71,7.94,20.1,19.8,-4.3,47.5,True,False,-20.4481,False,32.4,48.5,False,4012.35,-3.9,True,True,59,23,1.06,3766.0,True
4,AD.AS,KONINKLIJKE AHOLD DELHAIZE N.V.,EUROSTOXX,Consumer Defensive,Grocery Stores,Netherlands,EUR,31.31,1.0,script-v2.0,1.0,2026-09-04T12:22:24.892673+02:00,79.3,76.1,83,70,0,7,89,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,"margin_stabilization (media): Margen gross 26.4% vs 26.8% (-0.4 pp) | dividend_maintained (baja): Dividendo actual 3.96% con caída del 26.4% | analyst_upgrade (media): Target 38.58 vs precio 31.31 (+23%), recMean 2.47, recKey buy",fuerte,seguimiento,30.96,31.31,30.96 - 31.31,35.58,36.16,35.58 - 36.16,Pérdida del soporte en 30.96 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"KONINKLIJKE AHOLD DELHAIZE N.V. está un 26.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 15.7%, deuda neta/EBITDA 3.0x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.","KONINKLIJKE AHOLD DELHAIZE N.V. está un 26.4% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 15.7%, deuda neta/EBITDA 3.0x. Técnicamente 🔵 RSI recuperándose de sobreventa, 🟢 Divergencia alcista RSI. Clasificación: seguimiento.",🔵 RSI recuperándose de sobreventa | 🟢 Divergencia alcista RSI | 🟢 Cruce alcista MACD | 🟢 Cerca de soporte | 🟢 base_pattern_detected,3.96,11,18,False,49.4,1.33,2589722.0,16049999616.0,2.98,256.9,gross,26.6,26.6,-0.0,15.7,27357.0,12.5,1.89,8.03,26.4,24.0,-12.0,41.9,True,False,-1.349,False,61.1,39.0,False,35.63,-12.1,True,False,77,12,0.8,30.96,False
5,LOW,"Lowe's Companies, Inc.",SP500,Consumer Cyclical,Home Improvement Retail,United States,USD,201.9,1.0,script-v2.0,1.0,2026-09-04T12:23:03.153858+02:00,78.9,82.5,74,90,0,15,68,entrada_escalada,entrada_escalada,,True,pass,pendiente,0,desconocido,Pendiente de implementar,confirmada,"margin_stabilization (media): Margen gross 32.7% vs 32.5% (+0.2 pp) | eps_stabilization (media): EPS 2.90 vs 1.78 (Diluted EPS) | debt_reduction (alta): Deuda 42031.0M vs 44677.0M | dividend_maintained (baja): Dividendo actual 2.48% con caída del 31.1% | analyst_upgrade (media): Target 253.76 vs precio 201.90 (+26%), recMean 1.80, recKey buy",razonable,entrada_escalada,191.81,201.9,191.81 - 201.90,234.22,249.1,234.22 - 249.10,Pérdida del soporte en 191.81 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"Lowe's Companies, Inc. está un 31.1% por debajo de su máximo 52s. Fundamentalmente sólida con deuda neta/EBITDA 3.0x, dividendo 2.5%. Técnicamente 🟢 Divergencia alcista RSI, 🟡 MACD convergiendo. Clasificación: entrada_escalada.","Lowe's Companies, Inc. está un 31.1% por debajo de su máximo 52s. Fundamentalmente sólida con deuda neta/EBITDA 3.0x, dividendo 2.5%. Técnicamente 🟢 Divergencia alcista RSI, 🟡 MACD convergiendo. Clasificación: entrada_escalada.",🟢 Divergencia alcista RSI | 🟡 MACD convergiendo | 🟢 base_pattern_detected,2.48,11,20,False,41.0,,3043700.0,38859001600.0,3.05,-5.9,gross,33.0,33.3,-0.3,,113277.0,17.1,-15.23,11.95,31.1,30.3,-13.8,37.3,False,True,-7.6894,False,9.7,4.7,False,234.48,-13.9,True,False,56,12,1.05,,False
6,CAP.PA,CAPGEMINI,EUROSTOXX,Technology,Information Technology Services,France,EUR,107.9,1.0,script-v2.0,1.0,2026-09-04T12:22:08.801616+02:00,77.7,80.9,91,72,0,4,68,seguimiento,seguimiento,Sin señales de recuperación,True,pass,pendiente,0,desconocido,Pendiente de implementar,ausente,"dividend_maintained (baja): Dividendo actual 3.15% con caída del 29.5% | analyst_upgrade (media): Target 140.51 vs precio 107.90 (+30%), recMean 1.76, recKey buy",razonable,seguimiento,100.54,104.96,100.54 - 104.96,109.0,130.09,109.00 - 130.09,Pérdida del soporte en 104.96 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"CAPGEMINI está un 29.5% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 12.2%, deuda neta/EBITDA 2.6x. Técnicamente 🟡 MACD convergiendo, 🟢 Cerca de soporte. Clasificación: seguimiento.","CAPGEMINI está un 29.5% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 12.2%, deuda neta/EBITDA 2.6x. Técnicamente 🟡 MACD convergiendo, 🟢 Cerca de soporte. Clasificación: seguimiento.",🟡 MACD convergiendo | 🟢 Cerca de soporte | 🟡 Apoyo en MA40 semanal | 🟢 base_pattern_detected | 🟡 trendline_break,3.15,11,20,False,43.2,0.88,663364.0,7907000320.0,2.56,67.8,,26.8,,,12.2,17912.0,13.7,1.56,8.58,29.5,43.0,-1.0,53.4,False,True,-0.529,False,50.7,47.6,False,108.55,-0.6,True,True,45,23,0.62,104.96,True
7,DG.PA,VINCI,EUROSTOXX,Industrials,Engineering & Construction,France,EUR,113.1,1.0,script-v2.0,1.0,2026-09-04T12:22:07.717583+02:00,77.0,75.7,89,64,0,7,81,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 8.65 vs 8.43 (annual_eps_fallback) | dividend_maintained (baja): Dividendo actual 4.47% con caída del 21.0% | analyst_upgrade (media): Target 143.24 vs precio 113.10 (+27%), recMean 2.00, recKey buy",fuerte,seguimiento,111.6,113.1,111.60 - 113.10,121.68,123.21,121.68 - 123.21,Pérdida del soporte en 111.60 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,6-12,"VINCI está un 21.0% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 16.3%, deuda neta/EBITDA 2.0x. Técnicamente 🔵 RSI en sobreventa, 🟡 MACD convergiendo. Clasificación: seguimiento.","VINCI está un 21.0% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 16.3%, deuda neta/EBITDA 2.0x. Técnicamente 🔵 RSI en sobreventa, 🟡 MACD convergiendo. Clasificación: seguimiento.",🔵 RSI en sobreventa | 🟡 MACD convergiendo | 🟢 Cerca de soporte | 🟡 Apoyo en MA40 semanal | 🟢 base_pattern_detected,4.47,11,20,False,55.5,1.21,881508.0,25782998016.0,2.02,9.7,,17.0,,,16.3,62585.0,12.6,2.05,7.21,21.0,18.6,-8.2,33.8,False,True,-1.848,False,15.2,10.3,False,123.32,-8.3,True,False,64,17,0.75,111.6,False
8,IP,International Paper Company,SP500,Consumer Cyclical,Packaging & Containers,United States,USD,36.44,1.0,script-v2.0,1.0,2026-09-04T12:23:35.283623+02:00,75.7,72.9,66,79,0,4,84,seguimiento,seguimiento,Sin señales de recuperación,True,pass,pendiente,0,desconocido,Pendiente de implementar,ausente,"dividend_maintained (baja): Dividendo actual 5.08% con caída del 27.5% | analyst_upgrade (media): Target 48.00 vs precio 36.44 (+32%), recMean 1.75, recKey buy",fuerte,seguimiento,35.38,36.44,35.38 - 36.44,37.49,42.71,37.49 - 42.71,Pérdida del soporte en 35.38 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"International Paper Company está un 27.5% por debajo de su máximo 52s. Fundamentalmente sólida con ROE -16.5%, deuda neta/EBITDA 2.3x. Técnicamente 🔵 RSI en sobreventa, 🟢 Volumen creciente. Clasificación: seguimiento.","International Paper Company está un 27.5% por debajo de su máximo 52s. Fundamentalmente sólida con ROE -16.5%, deuda neta/EBITDA 2.3x. Técnicamente 🔵 RSI en sobreventa, 🟢 Volumen creciente. Clasificación: seguimiento.",🔵 RSI en sobreventa | 🟢 Volumen creciente | 🟢 Cerca de soporte | 🟢 Estocástico sale de sobreventa | 🟡 Apoyo en MA40 semanal | 🟢 base_pattern_detected,5.08,11,20,False,158.1,0.69,5274519.0,9176999552.0,2.33,3.8,gross,29.6,29.8,-0.1,-16.5,19298.0,12.2,1.33,7.24,27.5,34.9,-2.8,34.8,False,False,0.5631,False,13.8,6.6,True,37.68,-3.3,True,False,61,23,1.39,35.38,True
9,0700.HK,TENCENT,ASIA,Communication Services,Internet Content & Information,China,HKD,442.8,1.0,script-v2.0,1.0,2026-09-04T12:24:15.415655+02:00,75.7,82.3,94,72,0,7,56,seguimiento,seguimiento,,True,pass,pendiente,0,desconocido,Pendiente de implementar,parcial,"eps_stabilization (media): EPS 6.30 vs 6.28 (Diluted EPS) | dividend_maintained (baja): Dividendo actual 1.08% con caída del 35.2% | analyst_upgrade (media): Target 665.61 vs precio 442.80 (+50%), recMean 1.33, recKey strong_buy",razonable,seguimiento,420.66,442.8,420.66 - 442.80,512.97,580.55,512.97 - 580.55,Pérdida del soporte en 420.66 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,12-18,"TENCENT está un 35.2% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 19.9%, deuda neta/EBITDA 0.0x. Técnicamente 🟡 MACD convergiendo, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.","TENCENT está un 35.2% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 19.9%, deuda neta/EBITDA 0.0x. Técnicamente 🟡 MACD convergiendo, 🟢 Bajo SMA200 con SMA50 girando. Clasificación: seguimiento.",🟡 MACD convergiendo | 🟢 Bajo SMA200 con SMA50 girando | 🟢 base_pattern_detected,1.08,11,19,False,,0.39,29396921.0,12923994112.0,0.04,,gross,56.7,56.9,-0.2,19.9,3990181.0,14.9,3.01,13.46,35.2,34.4,-13.7,45.7,False,True,-17.3009,False,33.6,15.1,False,502.61,-11.9,True,False,44,12,0.9,,True
10,EN.PA,BOUYGUES,EUROSTOXX,Industrials,Engineering & Construction,France,EUR,44.31,1.0,script-v2.0,1.0,2026-09-04T12:22:10.551299+02:00,75.4,69.2,82,58,0,15,94,entrada_directa,entrada_directa,,True,pass,pendiente,0,desconocido,Pendiente de implementar,confirmada,"margin_stabilization (media): Margen gross 57.6% vs 57.8% (-0.2 pp) | eps_stabilization (media): EPS 0.98 vs -0.24 (Diluted EPS) | debt_reduction (alta): Deuda 14707.0M vs 15110.0M | dividend_maintained (baja): Dividendo actual 4.74% con caída del 17.1% | analyst_upgrade (media): Target 60.00 vs precio 44.31 (+35%), recMean 2.00, recKey buy",fuerte,entrada_directa,43.5,44.31,43.50 - 44.31,45.46,46.99,45.46 - 46.99,Pérdida del soporte en 43.50 | ROE negativo durante 2 trimestres consecutivos | Ampliación de capital dilutiva | Recorte de rating a bono basura,6-12,"BOUYGUES está un 17.1% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 9.7%, deuda neta/EBITDA 2.1x. Técnicamente 🔵 RSI en sobreventa, 🟢 Divergencia alcista RSI. Clasificación: entrada_directa.","BOUYGUES está un 17.1% por debajo de su máximo 52s. Fundamentalmente sólida con ROE 9.7%, deuda neta/EBITDA 2.1x. Técnicamente 🔵 RSI en sobreventa, 🟢 Divergencia alcista RSI. Clasificación: entrada_directa.",🔵 RSI en sobreventa | 🟢 Divergencia alcista RSI | 🟡 MACD convergiendo | 🟢 Cerca de soporte | 🟡 Apoyo en MA40 semanal | 🟢 base_pattern_detected,4.74,11,20,False,,1.03,745410.0,9871000576.0,2.15,-2.7,gross,56.8,56.3,0.5,9.7,17111.0,13.6,1.36,6.24,17.1,16.8,-5.7,34.0,False,True,-0.1417,False,21.7,16.9,False,47.16,-6.0,True,False,77,17,1.11,43.5,False
